Reflective_Account,Cleaned,Neg,Neu,Pos,Compound,Advice_Text,emotion_label,theme_label
"This mini-dissertation project was both rewarding and challenging, offering valuable insights into the research process and personal growth. Initially, the prospect of conducting an experiment with friends was exhilarating. The opportunity to independently investigate a topic made me feel like a PhD student embarking on an exciting academic journey. However, I quickly realized that effective teamwork requires more than simply dividing roles within a group. Successful collaboration involves understanding the unique working styles, communication preferences, and pacing of team members. While adapting to these differences proved challenging at times, the shared stress of the project ultimately brought us closer together. It revealed the true personalities of my teammates - who are also my friends - and highlighted their helpfulness and consideration during moments when I faced personal challenges. This project significantly enhanced my technical skills, particularly in using SPSS and conducting ANOVA analyses. Although I encountered setbacks, including having to redo the entire project to ensure variable differentiation within the team, these obstacles strengthened my resilience and problem-solving abilities. Balancing academic pressures alongside part-time work, family responsibilities, and Ramadan was overwhelming at times, but the support and guidance from my team members helped me persevere. Ultimately, this experience has been instrumental in shaping me as a future researcher. It has taught me to critically evaluate my own work and approach research papers with a more analytical perspective. The skills I have developed throughout this project will undoubtedly prove invaluable as I progress into my third year and undertake my dissertation.","This mini-dissertation project was both rewarding and challenging, offering valuable insights into the research process and personal growth. Initially, the prospect of conducting an experiment with friends was exhilarating. The opportunity to independently investigate a topic made me feel like a PhD student embarking on an exciting academic journey. However, I quickly realized that effective teamwork requires more than simply dividing roles within a group. Successful collaboration involves understanding the unique working styles, communication preferences, and pacing of team members. While adapting to these differences proved challenging at times, the shared stress of the project ultimately brought us closer together. It revealed the true personalities of my teammates - who are also my friends - and highlighted their helpfulness and consideration during moments when I faced personal challenges. This project significantly enhanced my technical skills, particularly in using SPSS and conducting ANOVA analyses. Although I encountered setbacks, including having to redo the entire project to ensure variable differentiation within the team, these obstacles strengthened my resilience and problem-solving abilities. Balancing academic pressures alongside part-time work, family responsibilities, and Ramadan was overwhelming at times, but the support and guidance from my team members helped me persevere. Ultimately, this experience has been instrumental in shaping me as a future researcher. It has taught me to critically evaluate my own work and approach research papers with a more analytical perspective. The skills I have developed throughout this project will undoubtedly prove invaluable as I progress into my third year and undertake my dissertation.",0.019,0.815,0.166,0.9821,"Although I encountered setbacks, including having to redo the entire project to ensure variable differentiation within the team, these obstacles strengthened my resilience and problem-solving abilities.",Resilient,"Teamwork, Personal Growth, Technical Skills, Resilience, Time Management"
"Initially I believed that working in a group who did not know me at all would be incredibly daunting and overwhelming however after the first week, I felt much more comfortable working as a group as they were forgiving and patient with me submitting ideas and potential solutions to issues and roadblocks. However, that is not to say it was flawless as a lot of jargon and technical info such as data analysis went over all our heads, and we had no idea collectively how to approach these issues. At first, data analysis was overbearing with it always being in the back of my mind with no conceivable way on how to approach it or conduct it and I pushed it back throughout the entire dissertation process, ignoring it until last minute which really halted progress and forced me to learn how to conduct it in SPSS. Even throughout the analysis I was holding onto the chance the analysis was wrong, and I did everything I could to make sure it was not, so I made too many stats in the end which were not added to the dissertation or open materials. Finally, designing and running the group Qualtrics survey and figuring out how to port it to excel and edit all the unimportant data really taught me a valuable lesson that psychological research is not instant or simple going into it, even coming out of it, the tasks are still daunting and soul-crushing looking back on it but now I can say I achieved what I set out to do with my group and we all performed as well as we could have done together. Not only has this survey taught me about the hardships of running a study but also how inconsistent the collection is as everyone will have different answers, some will answer the question wrong or misinterpret what the question says, giving vague answers or only answering with 'not sure/prefer not to say' for most questions. This ultimately made me feel more at ease when I participate in surveys because I know I'm not going to answer correctly but I now have the knowledge the researcher just wants the data. Overall, the mini-dissertation has made me a lot more confident in approaching the third-year dissertation by being more outgoing with my design and potentially working with multiple collaborators for advice and assistance as well as going more in depth on a topic than initially intended.","Initially, I believed that working in a group I did not know would be incredibly daunting and overwhelming. However, after the first week, I felt much more comfortable working as a group, as they were forgiving and patient with me submitting ideas and potential solutions to issues and roadblocks. However, it was not flawless; a lot of jargon and technical info such as data analysis went over our heads, and we had no idea collectively how to approach these issues. Data analysis was overbearing, always in the back of my mind with no conceivable way on how to approach or conduct it. I pushed it back throughout the entire dissertation process, ignoring it until last minute, which really halted progress and forced me to learn how to conduct it in SPSS. Even throughout the analysis, I held onto the chance that the analysis was wrong, doing everything I could to ensure it wasn't. As a result, I made too many stats that were not added to the dissertation or open materials. Designing and running the group Qualtrics survey, figuring out how to port it to excel, and editing all the unimportant data taught me a valuable lesson: psychological research is not instant or simple; even coming out of it, tasks are still daunting and soul-crushing. The survey also taught me about the hardships of running a study and how inconsistent the collection can be, as everyone will have different answers, some may answer questions wrong, misinterpret them, give vague answers, or only answer with 'not sure/prefer not to say' for most questions. This ultimately made me feel more at ease when I participate in surveys because I know researchers just want data. Overall, the mini-dissertation has made me more confident in approaching the third-year dissertation, being more outgoing with my design and potentially working with multiple collaborators for advice and assistance as well as going more in depth on a topic than initially intended.",0.063,0.842,0.095,0.8869,"Even throughout the analysis, I held onto the chance that the analysis was wrong, doing everything I could to ensure it wasn't. || Overall, the mini-dissertation has made me more confident in approaching the third-year dissertation, being more outgoing with my design and potentially working with multiple collaborators for advice and assistance as well as going more in depth on a topic than initially intended.",Resilient,"Research Process, Collaboration, Confidence"
"Overall, my experience with this dissertation was quite challenging and at times frustrating. While it was nice to work as a team for a change and share ideas regarding the research and study setup, the process was often hindered by one group member's frequent absence. This made the dissertation feel more like a two-person project, and having an extra, more engaged member might have made the experience run much more smoothly. A major issue throughout was the lack of communication outside of our lab sessions, which is something we all could have improved upon. Since we rarely interacted beyond those two hours, it was often difficult to stay on the same page. A good example of this miscommunication occurred over the Christmas break when we had planned to help each other with the Ethics Submission documents. However, when it came to the information sheet, we were left in the dark and had to create one ourselves, only to later discover that the absent group member had made their own version without informing us. Additionally, there were times when I asked questions and received no response from my fellow researchers, which made aspects of the project even more difficult. Another significant challenge was my experience with SPSS. For most of the year, I was unable to access the software, and even when I resolved the issue, there were instances where SPSS would not seem to generate data. This was incredibly frustrating, but in the end, it was a huge relief when everything finally worked as expected. Despite these challenges, I found our lab teacher to be incredibly helpful throughout the process as they supported our ideas, encouraged us, and told us what needed to be done to overcome any problems we may face. Their guidance made a significant difference, especially with regards to the Impact of Nicotine Withdrawal and Anhedonia when we struggled to understand certain aspects of the study or needed clarification on our methodology. Their support helped bridge some of the gaps caused by the lack of team communication, and I really appreciated their patience and expertise. While this experience had its difficulties, it has given me a clearer understanding of the research process and the importance of effective teamwork. Despite the frustrations faced from this mini dissertation, I am still looking forward to investigating my third-year dissertation independently, where I can take full control of my research and be better organized when it comes to setting up my research.","Overall, my experience with this dissertation was quite challenging and at times frustrating. While it was nice to work as a team for a change and share ideas regarding the research and study setup, the process was often hindered by one group member's frequent absence. This made the dissertation feel more like a two-person project, and having an extra, more engaged member might have made the experience run much more smoothly. A major issue throughout was the lack of communication outside of our lab sessions, which is something we all could have improved upon. Since we rarely interacted beyond those two hours, it was often difficult to stay on the same page. A good example of this miscommunication occurred over the Christmas break when we had planned to help each other with the Ethics Submission documents. However, when it came to the information sheet, we were left in the dark and had to create one ourselves, only to later discover that the absent group member had made their own version without informing us. Additionally, there were times when I asked questions and received no response from my fellow researchers, which made aspects of the project even more difficult. Another significant challenge was my experience with SPSS. For most of the year, I was unable to access the software, and even when I resolved the issue, there were instances where SPSS would not seem to generate data. This was incredibly frustrating, but in the end, it was a huge relief when everything finally worked as expected. Despite these challenges, I found our lab teacher to be incredibly helpful throughout the process as they supported our ideas, encouraged us, and told us what needed to be done to overcome any problems we may face. Their guidance made a significant difference, especially with regards to the Impact of Nicotine Withdrawal and Anhedonia when we struggled to understand certain aspects of the study or needed clarification on our methodology. Their support helped bridge some of the gaps caused by the lack of team communication, and I really appreciated their patience and expertise. While this experience had its difficulties, it has given me a clearer understanding of the research process and the importance of effective teamwork. Despite the frustrations faced from this mini dissertation, I am still looking forward to investigating my third-year dissertation independently, where I can take full control of my research and be better organized when it comes to setting up my research.",0.053,0.804,0.143,0.9898,,Frustrated,"Effective Teamwork, Research Process, SPSS Challenges"
"At the start of this project, I was genuinely excited. I wanted to showcase my project management skills, generate and share ideas diplomatically, and work well with others. As the project progressed, I felt confused about the delivery side, particularly because the module leader inspired me at the beginning of the year. Balancing communication, mental health, physical health, and time management was tough, and learning how to handle data technically felt overwhelming. I didn't even know how to extend a column in Excel at the beginning, which made working with the messy dataset even more stressful. Although lab sessions provided clear guidance on running and formatting analyses, applying those instructions independently was harder than expected. With poor computer literacy, learning technical skills without direct support was a challenge throughout the project. Despite all that, I am genuinely proud of pulling this report together - especially learning how to export, clean, and manage data properly, which seemed beyond me at the start. I improved my practical research skills in unexpected ways. If I could change anything, it would be designing a study that made more sense for analysis, instead of choosing something quick and easy to get responses for. I would also advise myself to plan difficult steps carefully, seek clarification earlier, and not guess what was involved in working with data vaguely. This project challenged me more than anticipated, but it made me stronger and more confident for future research projects like my dissertation; because even though it takes me a little (a lot) longer to do data analysis, I can actually do it!","At the start of this project, I was genuinely excited. I wanted to showcase my project management skills, generate and share ideas diplomatically, and work well with others. As the project progressed, I felt confused about the delivery side. Balancing communication, mental health, physical health, and time management was tough, and learning how to handle data technically felt overwhelming. I didn't even know how to extend a column in Excel at the beginning, which made working with the messy dataset even more stressful. Although lab sessions provided clear guidance on running and formatting analyses, applying those instructions independently was harder than expected. With poor computer literacy, learning technical skills without direct support was a challenge throughout the project. Despite all that, I am genuinely proud of pulling this report together - especially learning how to export, clean, and manage data properly, which seemed beyond me at the start. I improved my practical research skills in unexpected ways. If I could change anything, it would be designing a study that made more sense for analysis, instead of choosing something quick and easy to get responses for. I would also advise myself to plan difficult steps carefully, seek clarification earlier, and not guess what was involved in working with data vaguely. This project challenged me more than anticipated, but it made me stronger and more confident for future research projects like my dissertation; because even though it takes me a little (a lot) longer to do data analysis, I can actually do it!",0.05,0.833,0.117,0.9469,"I would also advise myself to plan difficult steps carefully, seek clarification earlier, and not guess what was involved in working with data vaguely.",Relieved,Research Skills & Data Analysis
"This project's decision-making demonstrated the impact of planning and flexibility on outcomes. Goals were established for sociability, academic performance, and belonging. My hypothesis suggested that sociability would influence belongingness more than academic success. The project encountered challenges, primarily in the literature review stage. Prior studies had linked sociability and belonging. A broader research focus was necessary. After reviewing literature and findings, it became clear that numerous social, environmental, and individual factors might impact belongingness, which the research design could not fully account for. Instead, sociability and academic success predicted belongingness. Consequently, I altered my study topic to better analyze the data. Data analysis proved challenging. Interpreting 2x2 ANOVA results without significant effects was difficult. I attempted to reconcile the lack of relevance with evidence supporting the importance of sociability. After further contemplation, I recognized these findings might necessitate a deeper understanding of belongingness and personal and institutional issues. At one point, I considered giving up. However, study technique, data processing, and adaptability helped me navigate unexpected results. Next year, I am more confident in my hypotheses, critical research skills, and adaptability. This experience underscored the complexity of academic research.","This project's decision-making demonstrated the impact of planning and flexibility on outcomes. Goals were established for sociability, academic performance, and belonging. My hypothesis suggested that sociability would influence belongingness more than academic success. The project encountered challenges, primarily in the literature review stage. Prior studies had linked sociability and belonging. A broader research focus was necessary. After reviewing literature and findings, it became clear that numerous social, environmental, and individual factors might impact belongingness, which the research design could not fully account for. Instead, sociability and academic success predicted belongingness. Consequently, I altered my study topic to better analyze the data. Data analysis proved challenging. Interpreting 2x2 ANOVA results without significant effects was difficult. I attempted to reconcile the lack of relevance with evidence supporting the importance of sociability. After further contemplation, I recognized these findings might necessitate a deeper understanding of belongingness and personal and institutional issues. At one point, I considered giving up. However, study technique, data processing, and adaptability helped me navigate unexpected results. Next year, I am more confident in my hypotheses, critical research skills, and adaptability. This experience underscored the complexity of academic research.

    (Non-unicode characters, no extra whitespace)",0.049,0.772,0.18,0.9785,,Resilient,Research Design & Perseverance
"The 2nd year Mini Dissertation task has been a valuable experience for me. It encouraged learning about time management, including setting a timeline and schedule to complete each step on time. I also learned the importance of teamwork and clear communication. As an international student, I developed tolerance and adapted to new people.

   The experiences and lessons will be essential skills for my academic journey and beyond. Conducting a study for the first time, analyzing and collecting data was an unforgettable learning journey. It fostered courage to ask questions and try various attempts to structure a research method report. It provided excitement to analyze a real-life study.

   I am now confident, excited, and eagerly await the opportunity to conduct the 3rd year dissertation project and continue learning in my academic journey.","The 2nd year Mini Dissertation task has been a valuable experience for me. It encouraged learning about time management, setting a timeline and schedule to complete each step on time. I also learned the importance of teamwork and clear communication. As an international student, I developed tolerance and adapted to new people. The experiences and lessons will be essential skills for my academic journey and beyond. Conducting a study for the first time, analyzing and collecting data was an unforgettable learning journey. It fostered courage to ask questions and try various attempts to structure a research method report. It provided excitement to analyze a real-life study. Now, I am confident, excited, and eagerly await the opportunity to conduct the 3rd year dissertation project and continue learning in my academic journey.",0,0.788,0.212,0.9812,,Confident,"Time Management, Teamwork, Academic Growth, Research, Communication"
"From the start of the year, being told that I would be responsible for creating an original experiment and reporting it was certainly daunting given my relative lack of experience in academic writing, study skills, and utilising statistics packages. Working in my lab group greatly bolstered my ability to learn these concepts with the support of my lab partners, who were there every step of the way to answer questions and learn new concepts. I was able to learn the end-to-end process of an ethics application, including vetting questionnaires and identifying ethical concerns. The labs and lab tutor played a significant role in my development as a student and researcher, enabling me to think freely and work under my own power, with the support and guidance of an experienced tutor to prevent me from making serious mistakes. The lectures provided valuable insight and assisted me in setting a timeline for the creation of this mini-dissertation, helping me understand the theory behind different aspects of open research and analysis. Looking forward to the year ahead and my individual research project, I have identified that this module, its associated lecture, and assignments have been of great help in developing my study skills, research capacity, and forming valuable connections for seeking help if needed.","From the start of the year, being told that I would be responsible for creating an original experiment and reporting it was certainly daunting given my relative lack of experience in academic writing, study skills, and utilizing statistics packages. Working in my lab group greatly bolstered my ability to learn these concepts with the support of my lab partners, who were there every step of the way to answer questions and learn new concepts. I was able to learn the end-to-end process of an ethics application, including vetting questionnaires and identifying ethical concerns. The labs and lab tutor played a significant role in my development as a student and researcher, enabling me to think freely and work under my own power, with the support and guidance of an experienced tutor to prevent me from making serious mistakes. The lectures provided valuable insight and assisted me in setting a timeline for the creation of this mini-dissertation, helping me understand the theory behind different aspects of open research and analysis. Looking forward to the year ahead and my individual research project, I have identified that this module, its associated lecture, and assignments have been of great help in developing my study skills, research capacity, and forming valuable connections for seeking help if needed.",0.025,0.775,0.2,0.9895,"From the start of the year, being told that I would be responsible for creating an original experiment and reporting it was certainly daunting given my relative lack of experience in academic writing, study skills, and utilizing statistics packages.",Relieved,"Personal Growth, Research Capacity, Study Skills"
"I am grateful for the opportunity to complete this mini dissertation before undertaking the full dissertation next year. Without this experience, I would have felt less prepared. Now, I have a clear understanding of what to focus on and how to organize the process more effectively. Initially, I doubted whether I could complete my own dissertation, but this project has shown me that it is achievable. Working in a group was incredibly beneficial, especially during the survey creation and participant recruitment stages. I truly enjoyed collaborating with my team, everyone was responsible, met deadlines, and supported one another. Our tutors also played a crucial role, providing guidance and answering questions, especially during data analysis, which was sometimes confusing. The extra sessions with Caroline were particularly helpful. Additionally, I now have a better grasp of time management for my dissertation next year. I have learned that I should start writing earlier, and that some sections can be drafted before all results are collected. Overall, I am happy with this experience. Despite some difficulties, it was a pleasure working with my group, and I feel more confident and excited about my dissertation next year.","I am grateful for the opportunity to complete this mini-dissertation before undertaking the full-dissertation next year. Without this experience, I would have felt less prepared. Now, I have a clear understanding of what to focus on and how to organize the process more effectively. Initially, I doubted whether I could complete my own dissertation, but this project has shown me that it is achievable. Working in a group was incredibly beneficial, especially during the survey creation and participant recruitment stages. I truly enjoyed collaborating with my team, everyone was responsible, met deadlines, and supported one another. Our tutors also played a crucial role, providing guidance and answering questions, especially during data analysis, which was sometimes confusing. The extra sessions with Caroline were particularly helpful. Additionally, I now have a better grasp of time management for my dissertation next year. I have learned that I should start writing earlier, and that some sections can be drafted before all results are collected. Overall, I am happy with this experience. Despite some difficulties, it was a pleasure working with my group, and I feel more confident and excited about my dissertation next year.",0.016,0.709,0.274,0.996,"Without this experience, I would have felt less prepared.",Grateful,"Teamwork, Time Management, Confidence"
"At the beginning, things went smoothly as we decided on a relationship-related research focusing on neuroticism with love languages as an additional factor. Piecing together the study using validated questionnaires was straightforward. However, data analysis proved challenging. We excluded multiple participants and found an outlier during analysis, leading to conflicts about removing them. Eventually, they were removed, but working with SPSS remained difficult. Initially, we performed the incorrect ANOVA, but rectifying it made subsequent steps easier. Overall, this experience was insightful and reduced the dread of working on a research project alone next year.","At the beginning, things went smoothly as we decided on a relationship-related research focusing on neuroticism with love languages as an additional factor. Piecing together the study using validated questionnaires was straightforward. However, data analysis proved challenging. We excluded multiple participants and found an outlier during analysis, leading to conflicts about removing them. Eventually, they were removed, but working with SPSS remained difficult. Initially, we performed the incorrect ANOVA, but rectifying it made subsequent steps easier. Overall, this experience was insightful and reduced the dread of working on a research project alone next year.",0.136,0.78,0.084,-0.6858,"We excluded multiple participants and found an outlier during analysis, leading to conflicts about removing them.",Frustrated,Data Analysis and Research Methods
"I found conducting this research challenging. As I have analyzed research before in a lab-report format, I expected to struggle less. There were features of designing and conducting a study, such as using Qualtrics and obtaining participants, which were more difficult and time-consuming than anticipated. In hindsight, I wish I had familiarized myself with Qualtrics earlier and taken measures to ensure an even distribution of participants between conditions.

I dealt well with the additional struggles of being in a group with only one other person instead of three; this made the workload much larger, particularly as I had to assist my lab partner in areas they found difficult, such as SPSS. When working with others in the future, I will try to be more firm about ensuring the workload is evenly distributed and communicate more openly with the people I am working with.

This would have given me additional time to enhance my study's design, obtain a larger sample size, and improve materials by recording a video instead of using a written vignette. I also struggled to narrow the scope of my research. My interest in ASD led me to cover many areas within my lab report such as the double empathy problem, the issue of misdiagnosis in women, and issues with previous research. This led to exceeding the word count by double, meaning I had to cut much of my content, making this assignment take longer and submitting it close to the deadline.

For future projects, I will focus more on planning and considering which topics I will cover ahead of time and approximating how many words I will use in each section. Despite these challenges, I was surprised at how much I enjoyed this project. The topic is of great interest to me, and although it was challenging, designing my study was also fun. It gave me a greater understanding of an issue which interested me and gave me insight into the process of being a researcher.","I found conducting this research challenging as I struggled more than anticipated with designing and conducting a study, particularly using Qualtrics and obtaining participants. In hindsight, I should have familiarized myself with Qualtrics earlier and ensured an even distribution of participants between conditions. Working in a group with only one other person increased the workload, especially assisting my lab partner in areas such as SPSS. For future collaborations, I will be more firm about ensuring the workload is evenly distributed and communicate more openly with colleagues. This would have given me additional time to enhance my study's design, obtain a larger sample size, and improve materials by recording a video instead of using a written vignette. I also struggled to narrow the scope of my research, which led to exceeding the word count by double, meaning I had to cut much of my content. For future projects, I will focus more on planning and approximating how many words I will use in each section ahead of time. Despite these challenges, I found this project enjoyable as it allowed me to gain a greater understanding of an issue that interests me and provided insight into the process of being a researcher.",0.038,0.871,0.092,0.892,"In hindsight, I should have familiarized myself with Qualtrics earlier and ensured an even distribution of participants between conditions.",Overwhelmed,"Planning, Time Management, Collaboration"
