theme,count,avg_sentiment,sample_comments
"Collaborative Teamwork, Time Management, Confidence in Dissertation",1,0.9934,"At the beginning of this project, I was excited to explore gender differences in perception, particularly how gendered language shapes attitudes towards job roles. Initially, I had to adapt my original idea due to other team members focusing on similar areas. Despite being initially disappointed, I remained open-minded and embraced the opportunity to work in a team. I enjoyed working with my partner overall, but collaboration came with difficulties. One challenge was our disagreement over using visual stimuli; I wanted to present job ads within stereotypically masculine and feminine office spaces, but we couldn't agree on their appearance, resulting in a change of direction that delayed progress. A significant challenge for me was SPSS; I initially felt overwhelmed by it but grew more confident as time passed. Unfortunately, technical issues led to the loss of data outputs, preventing me from recreating graphs shown to Caroline. Although I'm proud of the work submitted, it's not as comprehensive as it could have been. Moving forward, I understand the importance of completing tasks ahead of deadlines and seeking help when things go wrong. The project has highlighted the significance of visual and language-based framing in gendered communication, especially within marketing. In future projects, especially my final-year dissertation, I'd like to explore topics that integrate academic interests with professional fields, focusing on the power of gendered words and improving my ability to create engaging experimental materials reflective of real-world applications. Although this project may not be the piece I'm most proud of, it served as a turning point in my perception of myself as a researcher, providing clarity on values, voice, and future explorations. At submission, I feel a mix of pride, frustration, and relief but primarily motivated for what comes next. || At the beginning of this project, I was excited to explore gender differences in perception, particularly how gendered language shapes attitudes towards job roles. Initially, I had to adapt my original idea due to other team members focusing on similar areas. Despite being initially disappointed, I remained open-minded and embraced the opportunity to work in a team. I enjoyed working with my partner overall, but collaboration came with difficulties. One challenge was our disagreement over using visual stimuli; I wanted to present job ads within stereotypically masculine and feminine office spaces, but we couldn't agree on their appearance, resulting in a change of direction that delayed progress. A significant challenge for me was SPSS; I initially felt overwhelmed by it but grew more confident as time passed. Unfortunately, technical issues led to the loss of data outputs, preventing me from recreating graphs shown to Caroline. Although I'm proud of the work submitted, it's not as comprehensive as it could have been. Moving forward, I understand the importance of completing tasks ahead of deadlines and seeking help when things go wrong. The project has highlighted the significance of visual and language-based framing in gendered communication, especially within marketing. In future projects, especially my final-year dissertation, I'd like to explore topics that integrate academic interests with professional fields, focusing on the power of gendered words and improving my ability to create engaging experimental materials reflective of real-world applications. Although this project may not be the piece I'm most proud of, it served as a turning point in my perception of myself as a researcher, providing clarity on values, voice, and future explorations. At submission, I feel a mix of pride, frustration, and relief but primarily motivated for what comes next."
Collaboration and Project Management,1,0.9877,"Working on this project has highlighted both the strengths and challenges of collaborative group work. Effective communication is essential not just in sharing ideas but in ensuring that everyone has a clear understanding of their role and deadlines. At times, our group struggled with coordination, especially when tasks overlapped or lacked ownership, which led to delays and occasional frustration. However, I also saw the value in diverse perspectives, as each member brought unique insights that enriched the final outcome. In future projects, I would suggest implementing clearer structures from the beginning; assigning roles early, setting regular check-ins, and using shared digital tools for transparency and task tracking. Building a sense of accountability and encouraging open feedback within the group can greatly enhance motivation and performance. Most importantly, I have come to appreciate the importance of flexibility, balancing individual strengths with group dynamics and being adaptable when plans change. || Working on this project has highlighted both the strengths and challenges of collaborative group work. Effective communication is essential not just in sharing ideas but in ensuring that everyone has a clear understanding of their role and deadlines. At times, our group struggled with coordination, especially when tasks overlapped or lacked ownership, which led to delays and occasional frustration. However, I also saw the value in diverse perspectives, as each member brought unique insights that enriched the final outcome. In future projects, I would suggest implementing clearer structures from the beginning; assigning roles early, setting regular check-ins, and using shared digital tools for transparency and task tracking. Building a sense of accountability and encouraging open feedback within the group can greatly enhance motivation and performance. Most importantly, I have come to appreciate the importance of flexibility, balancing individual strengths with group dynamics and being adaptable when plans change."
"Collaboration, Effective Data Management, Clear Study Design",1,0.9982,"Looking back, my research journey did not start smoothly. Allocated a lab group whose interests revolved around conspiracy theories, which clashed with academic goals. Frustrating but taught importance of working with team focused on genuine, evidence-based research. Dove into extensive research in area of interest, reviewing existing studies to find gaps we could address, building strong foundation for project relevant to Perception of Witness Credibility and well-structured. Came up with three potential study designs, inviting teammates to help decide which one to pursue, ensuring everyone felt included and invested in project. Strong understanding of subject and motivation led to leadership role during planning phase. Faced challenge of combining everyone's different ideas into single clear plan while maintaining scientific accuracy. Collaboration tricky due to varying levels of knowledge among group members, often guiding direction of study while keeping everyone engaged. Major obstacle was unexpectedly long duration of study causing many participants to drop out. Despite smooth randomization process, lower-than-expected participant numbers pushed me to recruit more around campus. This was challenging but boosted confidence in promoting research and reaching out to people. Organizing data took effort, analyzing it rewarding, revealing interesting findings. Struggled with urge to overanalyze results, reminding myself of importance of staying disciplined in interpreting data. Experience taught me how to design future studies more efficiently. Working in team presented challenges due to preference for working alone. Project encouraged letting go of control and trusting teammates with different parts of research, key moment for personal growth. Realized tendency to overwork and focus on small details sometimes slowed us down. Created overly complicated data sheets that confused teammates, requiring extra time to explain thought process. This experience highlighted importance of keeping things simple in research. Lessons learned from this experience will be invaluable as move on to third-year dissertation and future projects. Now have deeper appreciation for collaborative research, effective data management, and the importance of clear study design. Excited to apply these insights to upcoming work ensuring scientific accuracy and practicality. || Looking back, my research journey did not start smoothly. Allocated a lab group whose interests revolved around conspiracy theories, which clashed with academic goals. Frustrating but taught importance of working with team focused on genuine, evidence-based research. Dove into extensive research in area of interest, reviewing existing studies to find gaps we could address, building strong foundation for project relevant to Perception of Witness Credibility and well-structured. Came up with three potential study designs, inviting teammates to help decide which one to pursue, ensuring everyone felt included and invested in project. Strong understanding of subject and motivation led to leadership role during planning phase. Faced challenge of combining everyone's different ideas into single clear plan while maintaining scientific accuracy. Collaboration tricky due to varying levels of knowledge among group members, often guiding direction of study while keeping everyone engaged. Major obstacle was unexpectedly long duration of study causing many participants to drop out. Despite smooth randomization process, lower-than-expected participant numbers pushed me to recruit more around campus. This was challenging but boosted confidence in promoting research and reaching out to people. Organizing data took effort, analyzing it rewarding, revealing interesting findings. Struggled with urge to overanalyze results, reminding myself of importance of staying disciplined in interpreting data. Experience taught me how to design future studies more efficiently. Working in team presented challenges due to preference for working alone. Project encouraged letting go of control and trusting teammates with different parts of research, key moment for personal growth. Realized tendency to overwork and focus on small details sometimes slowed us down. Created overly complicated data sheets that confused teammates, requiring extra time to explain thought process. This experience highlighted importance of keeping things simple in research. Lessons learned from this experience will be invaluable as move on to third-year dissertation and future projects. Now have deeper appreciation for collaborative research, effective data management, and the importance of clear study design. Excited to apply these insights to upcoming work ensuring scientific accuracy and practicality."
"Collaboration, Leadership, Overcoming Challenges, Navigating University System, Independence, Future Preparations",1,0.9424,"Throughout the decision-making process, I learned the value of compromise and collaboration. There were times when I had to make sacrifices for group cohesion, and this taught me a valuable lesson: never to overvalue my own perspective above others. Everyone brings their own passion and reasoning to the table, and I've learned to give others' ideas the same energy and consideration I give my own. One of the main challenges we faced as a group was the difference in priorities, motivation, and discipline when it came to data collection and completing the project. Realistically, only two of us fully contributed, which made the workload unfairly distributed. This was frustrating at times, but it taught me a lot about leadership, patience, and accountability. Another significant challenge was the lack of a reliable structure within the university. The system often felt inconsistent and unclear, with different tutors and lecturers offering conflicting information. It was difficult to feel confident in the direction we were taking, especially when guidance varied so widely. Additionally, there seemed to be an imbalance in support - some students had access to module leaders, while others were assigned to fellows who couldn't provide definitive answers. This created an uneven playing field and made it harder to feel confident in our work. We had to make several adjustments during the project, such as introducing a control variable and increasing the number of scenarios, which required flexibility and extra time that wasn't always easy to find under these conditions. At the point of submission, I feel uneasy. There are still aspects of the project that remain unclear, and I worry that by the time proper help arrives, it'll be too late. Looking ahead to next year, I feel nervous. Working closely with a professor is something I'm expected to do, but based on my experience so far, I worry that I'll encounter the same lack of structure and support. In all honesty, I would prefer to work independently - at least that way, the outcome is fully in my hands, and I'm not left waiting on a system or individuals that aren't consistent. Still, I'm hopeful that with the lessons I've learned this year, I'll be able to navigate future challenges with more resilience and clarity. || Throughout the decision-making process, I learned the value of compromise and collaboration. There were times when I had to make sacrifices for group cohesion, and this taught me a valuable lesson: never to overvalue my own perspective above others. Everyone brings their own passion and reasoning to the table, and I've learned to give others' ideas the same energy and consideration I give my own. One of the main challenges we faced as a group was the difference in priorities, motivation, and discipline when it came to data collection and completing the project. Realistically, only two of us fully contributed, which made the workload unfairly distributed. This was frustrating at times, but it taught me a lot about leadership, patience, and accountability. Another significant challenge was the lack of a reliable structure within the university. The system often felt inconsistent and unclear, with different tutors and lecturers offering conflicting information. It was difficult to feel confident in the direction we were taking, especially when guidance varied so widely. Additionally, there seemed to be an imbalance in support - some students had access to module leaders, while others were assigned to fellows who couldn't provide definitive answers. This created an uneven playing field and made it harder to feel confident in our work. We had to make several adjustments during the project, such as introducing a control variable and increasing the number of scenarios, which required flexibility and extra time that wasn't always easy to find under these conditions. At the point of submission, I feel uneasy. There are still aspects of the project that remain unclear, and I worry that by the time proper help arrives, it'll be too late. Looking ahead to next year, I feel nervous. Working closely with a professor is something I'm expected to do, but based on my experience so far, I worry that I'll encounter the same lack of structure and support. In all honesty, I would prefer to work independently - at least that way, the outcome is fully in my hands, and I'm not left waiting on a system or individuals that aren't consistent. Still, I'm hopeful that with the lessons I've learned this year, I'll be able to navigate future challenges with more resilience and clarity."
"Collaboration, Perseverance, Methodology Improvement",1,0.5447,"The prospect of conducting a mini dissertation initially daunted me, given my preference for independent work. However, my team swiftly developed a strong bond, and I greatly enjoyed collaborating with them. Unfortunately, from December, I was diagnosed with a chronic health condition that required me to be under supervision when leaving home for extended periods. One of my team members and I maintained regular communication about the project during this time, which allowed me to stay involved in our collective effort. This proved vital as I grew increasingly anxious about the project. This experience taught me that even during difficult personal circumstances, projects like these can still be completed through open communication. The data analysis was intimidating due to my weak numerical skills; it took a considerable amount of time and multiple attempts to execute the test correctly. However, learning in this manner offered a sense of accomplishment when I finally ran it without errors, boosting my confidence in conducting statistical tests in the future. I was disheartened not to find a significant result, especially since the Crime Type effect was close to statistical significance. This experience left me eager to conduct further research in search of a meaningful outcome and prompted me to reflect on ways to improve my methodology. I now look forward to conducting more research in the future and exploring various ideas, regardless of whether a significant result is achieved or not. I've realized that when designing a study, it cannot be perfect; there will always be limitations, but the objective should be to continually refine and enhance research over time. || The prospect of conducting a mini dissertation initially daunted me, given my preference for independent work. However, my team swiftly developed a strong bond, and I greatly enjoyed collaborating with them. Unfortunately, from December, I was diagnosed with a chronic health condition that required me to be under supervision when leaving home for extended periods. One of my team members and I maintained regular communication about the project during this time, which allowed me to stay involved in our collective effort. This proved vital as I grew increasingly anxious about the project. This experience taught me that even during difficult personal circumstances, projects like these can still be completed through open communication. The data analysis was intimidating due to my weak numerical skills; it took a considerable amount of time and multiple attempts to execute the test correctly. However, learning in this manner offered a sense of accomplishment when I finally ran it without errors, boosting my confidence in conducting statistical tests in the future. I was disheartened not to find a significant result, especially since the Crime Type effect was close to statistical significance. This experience left me eager to conduct further research in search of a meaningful outcome and prompted me to reflect on ways to improve my methodology. I now look forward to conducting more research in the future and exploring various ideas, regardless of whether a significant result is achieved or not. I've realized that when designing a study, it cannot be perfect; there will always be limitations, but the objective should be to continually refine and enhance research over time."
"Collaborative Learning, Research Design, Technology Adaptation, Confidence Building",1,0.9954,"To have the opportunity to create a research project during our second year was extremely helpful; I am very grateful as it has got me excited for next year's dissertation. Working in a group was extremely useful, as everyone was proactive and determined to create the best study we could. There were debates about creating the study, but nothing that created an awkward environment or wasn't immediately resolved, strengthening our work ethic. We had issues with creating independent and dependent variables at first, but with help from each other and our lab tutor, we overcame those difficulties. I particularly enjoyed using Gorilla software for this study, as it provided insight into what I can use next year for my research project. Although understanding the software was difficult initially, specifically the data collection spreadsheets, I quickly developed my understanding of the software and created an effective online study. The whole group contributed to creating the Gorilla study, so help was always available when needed. I also enjoyed the statistics side of psychology as I do not mind SPSS, making analysis successful, and brushing up on my skills made me more confident. Overall, this process was extremely fulfilling, and I enjoyed working with this group to create a study. This experience helped me identify my weaknesses and areas for improvement before third year, and I now know what was successful for me, which I can use when brainstorming for my dissertation project. || To have the opportunity to create a research project during our second year was extremely helpful; I am very grateful as it has got me excited for next year's dissertation. Working in a group was extremely useful, as everyone was proactive and determined to create the best study we could. There were debates about creating the study, but nothing that created an awkward environment or wasn't immediately resolved, strengthening our work ethic. We had issues with creating independent and dependent variables at first, but with help from each other and our lab tutor, we overcame those difficulties. I particularly enjoyed using Gorilla software for this study, as it provided insight into what I can use next year for my research project. Although understanding the software was difficult initially, specifically the data collection spreadsheets, I quickly developed my understanding of the software and created an effective online study. The whole group contributed to creating the Gorilla study, so help was always available when needed. I also enjoyed the statistics side of psychology as I do not mind SPSS, making analysis successful, and brushing up on my skills made me more confident. Overall, this process was extremely fulfilling, and I enjoyed working with this group to create a study. This experience helped me identify my weaknesses and areas for improvement before third year, and I now know what was successful for me, which I can use when brainstorming for my dissertation project."
"Collaborative Teamwork, Time Management, Confidence in Dissertation",1,0.996,"I am grateful for the opportunity to complete this mini-dissertation before undertaking the full-dissertation next year. Without this experience, I would have felt less prepared. Now, I have a clear understanding of what to focus on and how to organize the process more effectively. Initially, I doubted whether I could complete my own dissertation, but this project has shown me that it is achievable. Working in a group was incredibly beneficial, especially during the survey creation and participant recruitment stages. I truly enjoyed collaborating with my team, everyone was responsible, met deadlines, and supported one another. Our tutors also played a crucial role, providing guidance and answering questions, especially during data analysis, which was sometimes confusing. The extra sessions with Caroline were particularly helpful. Additionally, I now have a better grasp of time management for my dissertation next year. I have learned that I should start writing earlier, and that some sections can be drafted before all results are collected. Overall, I am happy with this experience. Despite some difficulties, it was a pleasure working with my group, and I feel more confident and excited about my dissertation next year. || I am grateful for the opportunity to complete this mini-dissertation before undertaking the full-dissertation next year. Without this experience, I would have felt less prepared. Now, I have a clear understanding of what to focus on and how to organize the process more effectively. Initially, I doubted whether I could complete my own dissertation, but this project has shown me that it is achievable. Working in a group was incredibly beneficial, especially during the survey creation and participant recruitment stages. I truly enjoyed collaborating with my team, everyone was responsible, met deadlines, and supported one another. Our tutors also played a crucial role, providing guidance and answering questions, especially during data analysis, which was sometimes confusing. The extra sessions with Caroline were particularly helpful. Additionally, I now have a better grasp of time management for my dissertation next year. I have learned that I should start writing earlier, and that some sections can be drafted before all results are collected. Overall, I am happy with this experience. Despite some difficulties, it was a pleasure working with my group, and I feel more confident and excited about my dissertation next year."
"Complexity of Academic Research, Data Analysis, Planning, Flexibility, Adaptability",1,0.981,"This project's decision-making demonstrated the impact of planning and flexibility on outcomes. Goals were established for sociability, academic performance, and belonging. My hypothesis suggested that sociability would influence belongingness more than academic success. The project encountered challenges, primarily in the literature review stage. Prior studies had linked sociability and belonging. A broader research focus was necessary. After reviewing literature and findings, it became clear that numerous social, environmental, and individual factors might impact belongingness, which the research design could not fully account for. Instead, sociability and academic success predicted belongingness. Consequently, I altered my study topic to better analyze the data. Data analysis proved challenging. Interpreting 2x2 ANOVA results without significant effects was difficult. I attempted to reconcile the lack of relevance with evidence supporting the importance of sociability. After further contemplation, I recognized these findings might necessitate a deeper understanding of belongingness and personal and institutional issues. At one point, I considered giving up. However, study technique, data processing, and adaptability helped me navigate unexpected results. Next year, I am more confident in my hypotheses, critical research skills, and adaptability. This experience underscored the complexity of academic research. || This project's decision-making demonstrated the impact of planning and flexibility on outcomes. Goals were established for sociability, academic performance, and belonging. My hypothesis suggested that sociability would influence belongingness more than academic success. The project encountered challenges, primarily in the literature review stage. Prior studies had linked sociability and belonging. A broader research focus was necessary. After reviewing literature and findings, it became clear that numerous social, environmental, and individual factors might impact belongingness, which the research design could not fully account for. Instead, sociability and academic success predicted belongingness. Consequently, I altered my study topic to better analyze the data. Data analysis proved challenging. Interpreting 2x2 ANOVA results without significant effects was difficult. I attempted to reconcile the lack of relevance with evidence supporting the importance of sociability. After further contemplation, I recognized these findings might necessitate a deeper understanding of belongingness and personal and institutional issues. At one point, I considered giving up. However, study technique, data processing, and adaptability helped me navigate unexpected results. Next year, I am more confident in my hypotheses, critical research skills, and adaptability. This experience underscored the complexity of academic research."
Data Analysis & Confidence,1,0.9729,"Reflective Account: When I initially contemplated running this study, although we weren't entirely on our own, it felt like a very challenging task to accomplish. Working together with a friendly group of individuals, all eager and determined to excel in the mini-dissertation, made the process overall go relatively smoothly until we then split up and wrote up the studies individually. I found this activity particularly difficult when done alone; my confidence in writing up results waned after the study was completed. I sometimes struggle to comprehend results, find it challenging to consistently recall adding the correct numbers from the table, and where to add them. Most of the time, I have to triple-check that I have correctly performed these tasks. Additionally, I experienced difficulties with conducting analysis on SPSS. However, after some time, I was able to accomplish my desired goal—understanding what I was actually doing in SPSS, where everything should go, and running follow-up tests when necessary. Collaborating on this mini-dissertation with the group and my lab teacher proved incredibly beneficial. Completing this mini-dissertation—designing and executing it—enhanced my critical thinking and analytical skills. I now feel more confident in analyzing data, making decisions when conducting studies and research in the future, as well as completing my dissertation next year. || Reflective Account: When I initially contemplated running this study, although we weren't entirely on our own, it felt like a very challenging task to accomplish. Working together with a friendly group of individuals, all eager and determined to excel in the mini-dissertation, made the process overall go relatively smoothly until we then split up and wrote up the studies individually. I found this activity particularly difficult when done alone; my confidence in writing up results waned after the study was completed. I sometimes struggle to comprehend results, find it challenging to consistently recall adding the correct numbers from the table, and where to add them. Most of the time, I have to triple-check that I have correctly performed these tasks. Additionally, I experienced difficulties with conducting analysis on SPSS. However, after some time, I was able to accomplish my desired goal—understanding what I was actually doing in SPSS, where everything should go, and running follow-up tests when necessary. Collaborating on this mini-dissertation with the group and my lab teacher proved incredibly beneficial. Completing this mini-dissertation—designing and executing it—enhanced my critical thinking and analytical skills. I now feel more confident in analyzing data, making decisions when conducting studies and research in the future, as well as completing my dissertation next year."
Data Analysis & Research Methods,1,-0.6858,"At the beginning, things went smoothly as we decided on a relationship-related research focusing on neuroticism with love languages as an additional factor. Piecing together the study using validated questionnaires was straightforward. However, data analysis proved challenging. We excluded multiple participants and found an outlier during analysis, leading to conflicts about removing them. Eventually, they were removed, but working with SPSS remained difficult. Initially, we performed the incorrect ANOVA, but rectifying it made subsequent steps easier. Overall, this experience was insightful and reduced the dread of working on a research project alone next year. || At the beginning, things went smoothly as we decided on a relationship-related research focusing on neuroticism with love languages as an additional factor. Piecing together the study using validated questionnaires was straightforward. However, data analysis proved challenging. We excluded multiple participants and found an outlier during analysis, leading to conflicts about removing them. Eventually, they were removed, but working with SPSS remained difficult. Initially, we performed the incorrect ANOVA, but rectifying it made subsequent steps easier. Overall, this experience was insightful and reduced the dread of working on a research project alone next year."
