theme_label,emotion_label,Compound,Cleaned,Advice_Text
"Teamwork, Personal Growth, Technical Skills",Resilient,0.9821,"This mini-dissertation project was both rewarding and challenging, offering valuable insights into the research process and personal growth. Initially, the prospect of conducting an experiment with friends was exhilarating. The opportunity to independently investigate a topic made me feel like a PhD student embarking on an exciting academic journey. However, I quickly realized that effective teamwork requires more than simply dividing roles within a group. Successful collaboration involves understanding the unique working styles, communication preferences, and pacing of team members. While adapting to these differences proved challenging at times, the shared stress of the project ultimately brought us closer together. It revealed the true personalities of my teammates - who are also my friends - and highlighted their helpfulness and consideration during moments when I faced personal challenges. This project significantly enhanced my technical skills, particularly in using SPSS and conducting ANOVA analyses. Although I encountered setbacks, including having to redo the entire project to ensure variable differentiation within the team, these obstacles strengthened my resilience and problem-solving abilities. Balancing academic pressures alongside part-time work, family responsibilities, and Ramadan was overwhelming at times, but the support and guidance from my team members helped me persevere. Ultimately, this experience has been instrumental in shaping me as a future researcher. It has taught me to critically evaluate my own work and approach research papers with a more analytical perspective. The skills I have developed throughout this project will undoubtedly prove invaluable as I progress into my third year and undertake my dissertation.","Here are some advice, recommendations, or tips the student gives to future students or themselves:

1. Teamwork requires understanding the unique working styles, communication preferences, and pacing of team members for successful collaboration.
2. Balancing academic pressures alongside part-time work, family responsibilities, and other commitments can be overwhelming, but seeking support and guidance from peers can help you persevere.
3. Embrace setbacks as opportunities to strengthen resilience and problem-solving abilities.
4. Critically evaluate your own work and approach research papers with a more analytical perspective.
5. The skills developed during this project, such as technical skills using SPSS and conducting ANOVA analyses, will prove invaluable for future academic endeavors, like the dissertation."
"Teamwork, Research Methods, Personal Growth",Resilient,0.9614,"Initially, I believed that working in a group who did not know me at all would be incredibly daunting and overwhelming. However, after the first week, I felt much more comfortable working as a group as they were forgiving and patient with me submitting ideas and potential solutions to issues and roadblocks. However, that is not to say it was flawless as a lot of jargon and technical info such as data analysis went over all our heads, and we had no idea collectively how to approach these issues. At first, data analysis was overbearing with it always being in the back of my mind with no conceivable way on how to approach it or conduct it and I pushed it back throughout the entire dissertation process, ignoring it until last minute which really halted progress and forced me to learn how to conduct it in SPSS. Even throughout the analysis, I was holding onto the chance the analysis was wrong, and I did everything I could to make sure it was not, so I made too many stats in the end which were not added to the dissertation or open materials. Finally, designing and running the group Qualtrics survey and figuring out how to port it to excel and edit all the unimportant data really taught me a valuable lesson that psychological research is not instant or simple. Even coming out of it, the tasks are still daunting and soul-crushing looking back on it but now I can say I achieved what I set out to do with my group and we all performed as well as we could have done together. Not only has this survey taught me about the hardships of running a study but also how inconsistent the collection is as everyone will have different answers, some will answer the question wrong or misinterpret what the question says, giving vague answers or only answering with 'not sure/prefer not to say' for most questions. This ultimately made me feel more at ease when I participate in surveys because I know I'm not going to answer correctly but I now have the knowledge the researcher just wants the data. Overall, the mini-dissertation has made me a lot more confident in approaching the third-year dissertation by being more outgoing with my design and potentially working with multiple collaborators for advice and assistance as well as going more in depth on a topic than initially intended.","The student recommends future students to be open and patient when working in a group they are not familiar with, and emphasizes the importance of asking questions or seeking help when encountering technical issues such as data analysis. Additionally, they advise against procrastination, especially when it comes to challenging tasks like data analysis, suggesting that it can hinder progress and cause unnecessary stress. Lastly, they suggest gaining confidence by being more outgoing with design and potentially collaborating with multiple people for advice and assistance, as well as going in-depth on a topic than initially intended."
"Teamwork, Communication, Research Process",Frustrated,0.9898,"Overall, my experience with this dissertation was quite challenging and at times frustrating. While it was nice to work as a team for a change and share ideas regarding the research and study setup, the process was often hindered by one group member's frequent absence. This made the dissertation feel more like a two-person project, and having an extra, more engaged member might have made the experience run much more smoothly. A major issue throughout was the lack of communication outside of our lab sessions, which is something we all could have improved upon. Since we rarely interacted beyond those two hours, it was often difficult to stay on the same page.

   A good example of this miscommunication occurred over the Christmas break when we had planned to help each other with the Ethics Submission documents. However, when it came to the information sheet, we were left in the dark and had to create one ourselves, only to later discover that the absent group member had made their own version without informing us. Additionally, there were times when I asked questions and received no response from my fellow researchers, which made aspects of the project even more difficult.

   Another significant challenge was my experience with SPSS. For most of the year, I was unable to access the software, and even when I resolved the issue, there were instances where SPSS would not seem to generate data. This was incredibly frustrating, but in the end, it was a huge relief when everything finally worked as expected.

   Despite these challenges, I found our lab teacher to be incredibly helpful throughout the process as they supported our ideas, encouraged us, and told us what needed to be done to overcome any problems we may face. Their guidance made a significant difference, especially with regards to the Impact of Nicotine Withdrawal and Anhedonia when we struggled to understand certain aspects of the study or needed clarification on our methodology.

   Their support helped bridge some of the gaps caused by the lack of team communication, and I really appreciated their patience and expertise. While this experience had its difficulties, it has given me a clearer understanding of the research process and the importance of effective teamwork. Despite the frustrations faced from this mini dissertation, I am still looking forward to investigating my third-year dissertation independently, where I can take full control of my research and be better organized when it comes to setting up my research.","Tips for future students:

1. Strive for effective team communication: Regularly communicate with your group members outside scheduled lab sessions to ensure everyone is on the same page and aware of each other's progress. This can help prevent misunderstandings and miscommunications that might hinder the project.

2. Have a backup plan for crucial tasks or deadlines: In case one group member is frequently absent, have an alternative approach or schedule to ensure the work continues smoothly without delaying the progress of the project.

3. Be patient with learning new software or tools: If you encounter challenges with unfamiliar programs like SPSS, don't lose hope, and keep trying to resolve issues. Persistence will eventually lead to mastery and a more enjoyable research experience.

4. Leverage guidance from instructors and mentors: When facing difficulties in your research, seek help and guidance from teachers or mentors who are experienced in the field. Their support can bridge gaps caused by miscommunication within the team and offer valuable insights that improve the quality of your work.

5. Develop organization skills: Working on a group project can be chaotic, so improving organizational skills will make it easier to manage tasks, keep track of deadlines, and maintain a clear understanding of the research process. This will help you in your third-year dissertation when working independently."
"Research Skills, Data Analysis, Time Management, Planning, Confidence",Resilient,0.9469,"At the start of this project, I was genuinely excited. I wanted to showcase my project management skills, generate and share ideas diplomatically, and work well with others. As the project progressed, I felt confused about the delivery side. Balancing communication, mental health, physical health, and time management was tough. Learning how to handle data technically felt overwhelming, especially as I didn't even know how to extend a column in Excel at the beginning. This made working with the messy dataset even more stressful. Although lab sessions provided clear guidance on running and formatting analyses, applying those instructions independently was harder than expected. With poor computer literacy, learning technical skills without direct support was a challenge throughout the project. Despite all that, I am genuinely proud of pulling this report together - especially learning how to export, clean, and manage data properly, which seemed beyond me at the start. I improved my practical research skills in unexpected ways. If I could change anything, it would be designing a study that made more sense for analysis, instead of choosing something quick and easy to get responses for. I would also advise myself to plan difficult steps carefully, seek clarification earlier, and not guess what was involved in working with data vaguely. This project challenged me more than anticipated, but it made me stronger and more confident for future research projects like my dissertation; because even though it takes me a little (a lot) longer to do data analysis, I can actually do it!","The student offers several pieces of advice:

1. Plan difficult steps carefully: The student advises taking time to plan out complicated tasks in advance and not rushing into them without proper preparation.
2. Seek clarification earlier: Instead of guessing what's involved in working with data, the student suggests asking for clarification as early as possible.
3. Design a study that makes more sense for analysis: The student recommends choosing a study design that is more appropriate for analysis rather than selecting something quick and easy to collect responses. This will make the data analysis process smoother.
4. Improve practical research skills in unexpected ways: Despite feeling overwhelmed at times, the student acknowledges that they learned valuable practical research skills during this project, suggesting that future students should be open to learning from their experiences, even when challenging.
5. Balance various aspects of the project: The student highlights the importance of managing communication, mental health, physical health, and time management when working on a project, emphasizing the need for a balanced approach."
"Complexity of Academic Research, Data Analysis, Planning, Flexibility, Adaptability",Resilient,0.981,"This project's decision-making demonstrated the impact of planning and flexibility on outcomes. Goals were established for sociability, academic performance, and belonging. My hypothesis suggested that sociability would influence belongingness more than academic success. The project encountered challenges, primarily in the literature review stage. Prior studies had linked sociability and belonging. A broader research focus was necessary. After reviewing literature and findings, it became clear that numerous social, environmental, and individual factors might impact belongingness, which the research design could not fully account for. Instead, sociability and academic success predicted belongingness. Consequently, I altered my study topic to better analyze the data. Data analysis proved challenging. Interpreting 2x2 ANOVA results without significant effects was difficult. I attempted to reconcile the lack of relevance with evidence supporting the importance of sociability. After further contemplation, I recognized these findings might necessitate a deeper understanding of belongingness and personal and institutional issues. At one point, I considered giving up. However, study technique, data processing, and adaptability helped me navigate unexpected results. Next year, I am more confident in my hypotheses, critical research skills, and adaptability. This experience underscored the complexity of academic research.","The student's advice to future students or themselves is:
    - Embrace planning and flexibility in your projects as they significantly impact outcomes.
    - Be prepared for challenges, especially during the literature review stage, and be open to broadening your research focus if necessary.
    - Recognize that numerous social, environmental, and individual factors might impact your study's findings, which may not always align with initial hypotheses.
    - Persist through challenging times as study techniques, data processing, and adaptability can help navigate unexpected results.
    - Gain confidence in your hypotheses, critical research skills, and adaptability as you gain experience in academic research, understanding its inherent complexity."
"Time Management, Teamwork, Academic Growth, Research Methods, Personal Development",Confident,0.9812,"2nd year Mini Dissertation task has been a valuable experience for me. It encouraged learning about time management, including setting a timeline and schedule to complete each step on time. I also learned the importance of teamwork and clear communication. As an international student, I developed tolerance and adapted to new people. The experiences and lessons will be essential skills for my academic journey and beyond. Conducting a study for the first time, analyzing and collecting data was an unforgettable learning journey. It fostered courage to ask questions and try various attempts to structure a research method report. It provided excitement to analyze a real-life study. I am now confident, excited, and eagerly await the opportunity to conduct the 3rd year dissertation project and continue learning in my academic journey.","Advice: Take time to develop a timeline and schedule for tasks during your research projects, emphasize the importance of teamwork and clear communication, embrace new experiences as opportunities to learn and adapt, be courageous when asking questions and trying new things, and remain excited and eager to continue learning throughout your academic journey."
"Personal Growth, Research Capacity, Teamwork, Time Management",Relieved,0.9895,"From the start of the year, being told that I would be responsible for creating an original experiment and reporting it was certainly daunting given my relative lack of experience in academic writing, study skills, and utilizing statistics packages. Working in my lab group greatly bolstered my ability to learn these concepts with the support of my lab partners, who were there every step of the way to answer questions and learn new concepts. I was able to learn the end-to-end process of an ethics application, including vetting questionnaires and identifying ethical concerns. The labs and lab tutor played a significant role in my development as a student and researcher, enabling me to think freely and work under my own power, with the support and guidance of an experienced tutor to prevent me from making serious mistakes. The lectures provided valuable insight and assisted me in setting a timeline for the creation of this mini-dissertation, helping me understand the theory behind different aspects of open research and analysis. Looking forward to the year ahead and my individual research project, I have identified that this module, its associated lecture, and assignments have been of great help in developing my study skills, research capacity, and forming valuable connections for seeking help if needed.","The student recommends finding a supportive lab group, utilizing their expertise to learn new concepts like academic writing, study skills, and statistics packages. They also emphasize the importance of understanding the end-to-end process of an ethics application, identifying ethical concerns, and seeking guidance from experienced tutors. The student suggests that attending lectures can provide valuable insights, assist in setting a timeline for projects, and help understand theories behind open research and analysis. Lastly, they highlight the importance of recognizing the value of modules, their associated lectures, and assignments in developing study skills, research capacity, and forming valuable connections for seeking help if needed."
"Collaborative Teamwork, Time Management, Confidence in Dissertation",Grateful,0.996,"I am grateful for the opportunity to complete this mini-dissertation before undertaking the full-dissertation next year. Without this experience, I would have felt less prepared. Now, I have a clear understanding of what to focus on and how to organize the process more effectively. Initially, I doubted whether I could complete my own dissertation, but this project has shown me that it is achievable. Working in a group was incredibly beneficial, especially during the survey creation and participant recruitment stages. I truly enjoyed collaborating with my team, everyone was responsible, met deadlines, and supported one another. Our tutors also played a crucial role, providing guidance and answering questions, especially during data analysis, which was sometimes confusing. The extra sessions with Caroline were particularly helpful. Additionally, I now have a better grasp of time management for my dissertation next year. I have learned that I should start writing earlier, and that some sections can be drafted before all results are collected. Overall, I am happy with this experience. Despite some difficulties, it was a pleasure working with my group, and I feel more confident and excited about my dissertation next year.","Advice to future students or themselves:
   - Start writing your dissertation earlier.
   - Some sections can be drafted before all results are collected.
   - Collaborating with a group can be beneficial, especially during survey creation and participant recruitment stages.
   - Seek guidance from tutors during data analysis and utilize any extra sessions if offered (e.g., sessions with Caroline).
   - Time management is crucial, as understanding what to focus on and organizing the process effectively is key to achieving your goals."
Data Analysis & Research Methods,Relieved,-0.6858,"At the beginning, things went smoothly as we decided on a relationship-related research focusing on neuroticism with love languages as an additional factor. Piecing together the study using validated questionnaires was straightforward. However, data analysis proved challenging. We excluded multiple participants and found an outlier during analysis, leading to conflicts about removing them. Eventually, they were removed, but working with SPSS remained difficult. Initially, we performed the incorrect ANOVA, but rectifying it made subsequent steps easier. Overall, this experience was insightful and reduced the dread of working on a research project alone next year.","The student recommends being prepared for potential challenges during data analysis when working with statistical software like SPSS. They also suggest carefully considering and resolving any conflicts that may arise during the process, such as deciding whether to exclude participants based on outliers or other factors. Lastly, they emphasize the importance of understanding and correctly applying statistical methods, such as ANOVA, to ensure subsequent steps are easier to navigate."
"Research Design, Collaboration, Time Management, Personal Growth",Frustrated,0.7339,"I found conducting this research challenging as I had anticipated struggling less due to previous lab-report analysis experience. Designing and conducting a study, particularly using Qualtrics and obtaining participants, proved more difficult than expected. In retrospect, I should have familiarized myself with Qualtrics earlier and ensured an even distribution of participants between conditions. Working with only one other person instead of three increased the workload, necessitating assistance in areas such as SPSS. For future collaborations, I will strive for evenly distributed workload and clearer communication. This would have allowed for improved study design, a larger sample size, and enhanced materials via video recording instead of using a written vignette. Additionally, narrowing the scope of my research was challenging due to my interest in ASD. This led to covering multiple areas within my lab report, such as the double empathy problem, misdiagnosis in women, and issues with previous research, resulting in exceeding the word count by double. For future projects, I will plan ahead and approximate word counts for each section. Despite these challenges, I enjoyed this project due to its relevance to my interests. Designing my study provided insight into the process of being a researcher.","Advice:

* Familiarize yourself with Qualtrics earlier when designing and conducting a study.
* Ensure an even distribution of participants between conditions for better study design.
* For future collaborations, strive for an evenly distributed workload and clearer communication to improve the project's outcome.
* Narrow the scope of research to avoid exceeding word count limits in future projects.
* Plan ahead and approximate word counts for each section to stay within the assigned limit.
* Working on a narrower topic will allow for a more focused and concise lab report."
